idx,a_pot,b_pot,numerically_stable,w0_cpl_latetime,wa_cpl_latetime,chi2_bao,s_fit_bao,chi2_sn,offset_fit_sn,n_sn,chi2_total
360,0.0421019977717972,0.0001541524203696,False,-1.0000000000000042,2.5547983506441077e-14,5163.494840120479,0.062006643556770026,1320.329431589285,42.93335685560641,1590,6483.824271709764
361,1.1184871985560343,0.0001752113279809,True,-0.3224561561988464,0.4954363712905237,251.73099760085597,0.027774231041488438,856.9018878760713,43.16331806156496,1590,1108.6328854769272
362,1.6022725312848956,0.0002559045918313,True,-0.46244901226412,0.6847221694930988,125.7977338844114,0.029611249066245002,743.7380034312912,43.11725158061013,1590,869.5357373157026
363,1.109619495440334,0.0006313757388261,True,-0.7779577243911968,0.999176588040148,23.359212606171738,0.035002666580707865,711.3305319859169,43.038752335952864,1590,734.6897445920886
364,75.98019084848482,0.0001649790414582,True,-0.3752248607367763,0.5472010943628488,159.4998224014118,0.02859995362041276,794.1638688449029,43.150697457924586,1590,953.6636912463148
365,0.5640062834177366,0.0062320349733152,True,-1.0320240818268471,0.2066674807613187,4191.738269845763,0.05860443687107462,1286.3681203492865,42.936123936933704,1590,5478.106390195049
366,1.0432886958242795,0.0811721800091565,True,-1.0000000000116498,6.806528517916714e-11,5163.494851502304,0.06200664359666066,1320.3294319388208,42.933356855576875,1590,6483.824283441125
367,26.30572065673715,0.5883793016737989,False,-1.0000000000000002,4.524014315313974e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
368,2.503291998665711,0.0018436341654034,False,-1.0716283348828557,0.687264200377115,1975.26208997981,0.0502393015652317,1154.0165385788973,42.94905995087155,1590,3129.278628558707
369,89.76776314084346,0.0026775378878497,False,-1.0368984138153203,0.2560310846127557,3915.454714691958,0.0575939695505558,1274.653323155363,42.93756436321428,1590,5190.108037847322
370,0.0470769104613281,0.0003165576803722,False,-1.000000000000001,5.7150484069166645e-15,5163.494849009158,0.062006643587915605,1320.3294318622643,42.933356855583405,1590,6483.824280871422
371,72.43522051381996,0.5171852571363765,True,-1.0,-8.019781102247801e-17,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
372,56.42681175979008,0.8039693839905921,True,-1.0,2.22941942886031e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
373,0.5368158047169905,0.0016010610029511,True,-0.9301119333650064,1.0590031862241738,195.15691824986934,0.03908486419653656,828.2070926066466,42.999411072811526,1590,1023.364010856516
374,0.0386189756023348,0.0001722738791272,True,-1.0000000000000129,7.482839100667491e-14,5163.494818363508,0.062006643480535056,1320.3294309207608,42.93335685566265,1590,6483.824249284269
375,0.0988360054010626,0.0194038112982669,False,-1.0,5.850022433036595e-16,5163.494851809986,0.06200664359772967,1320.3294319482256,42.93335685557614,1590,6483.824283758212
376,50.7716146861654,0.0198245399515156,True,-1.000001295042279,8.255387557003762e-06,5163.4545908212,0.062006501181877324,1320.328145655118,42.93335697111689,1590,6483.782736476318
377,0.0572188695557253,0.032613848037263,True,-1.0000000000000002,9.278012028374847e-16,5163.494851620968,0.06200664359706735,1320.3294319424285,42.93335685557663,1590,6483.824283563396
378,0.0351148752464074,0.0554755115885594,False,-1.000000000000025,1.7054394550979553e-13,5163.4947506652625,0.06200664324332395,1320.3294288392613,42.93335685583758,1590,6483.824179504523
379,78.79255835543853,0.0091528808247588,True,-1.000323548190993,0.0018893467830184,5154.673084467257,0.06197594144484965,1320.067087724211,42.93338033894412,1590,6474.7401721914675
380,42.12785138746531,0.9122487838526068,True,-1.0,4.3866270665258966e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
